ID	NAME	X	Y
0	None|Xetr_1|Xenopus_tropicalis	0.23559764	0.37202778
1	None|Xetr_2|Xenopus_tropicalis	0.249509	0.38093323
2	None|Xetr_3|Xenopus_tropicalis	0.23940109	0.38903025
3	None|Xetr_5|Xenopus_tropicalis	0.27259955	0.3810359
4	None|Xetr_6|Xenopus_tropicalis	0.26722756	0.383195
5	None|Xetr_7|Xenopus_tropicalis	0.31884527	0.4202382
6	None|Xetr_8|Xenopus_tropicalis	0.27373543	0.38611028
7	None|Xetr_9|Xenopus_tropicalis	0.21046036	0.37069568
8	None|Xetr4|Xenopus_tropicalis	0.23974866	0.37974173
9	None|Hosa_13|Homo_sapiens	0.13835754	0.27802154
10	SP|O43653|Homo_sapiens	0.25809672	0.39358297
11	SP|O94772|Homo_sapiens	0.11014678	0.34013343
12	SP|P0DP57|Homo_sapiens	0.10465526	0.20233512
13	SP|P0DP58|Homo_sapiens	0.23790513	0.29979065
14	SP|P55000|Homo_sapiens	0.22389069	0.3551266
15	SP|Q14210|Homo_sapiens	0.22650369	0.3254466
16	SP|Q16553|Homo_sapiens	0.3074849	0.38556486
17	SP|Q17RY6-2|Homo_sapiens	0.08961595	0.07788565
18	SP|Q6UXB3|Homo_sapiens	0.25551295	0.35797828
19	SP|Q8IV16|Homo_sapiens	0.13416481	0.32059118
20	None|Phci_11|Phascolarctos_cinereus	0.2474358	0.26277077
21	None|Phci_13|Phascolarctos_cinereus	0.3339025	0.35326278
22	None|Phci_14|Phascolarctos_cinereus	0.29395458	0.3649873
23	None|Phci_15|Phascolarctos_cinereus	0.0	0.3147585
24	None|Phci_16|Phascolarctos_cinereus	0.31014428	0.50396293
25	None|Phci_17|Phascolarctos_cinereus	0.21730603	0.36356288
26	None|Phci_2|Phascolarctos_cinereus	0.22103465	0.3420306
27	None|Phci_3|Phascolarctos_cinereus	0.2632937	0.35932317
28	None|Phci_4|Phascolarctos_cinereus	0.2593771	0.3210236
29	None|Phci_5|Phascolarctos_cinereus	0.30556467	0.34954265
30	None|Phci_6|Phascolarctos_cinereus	0.22413102	0.30150512
31	None|Phci_7|Phascolarctos_cinereus	0.23548849	0.3407267
32	None|Phci_8|Phascolarctos_cinereus	0.25039816	0.39065015
33	None|Oran_1|Ornithorhynchus_anatinus	0.18577138	0.21049003
34	None|Oran_2|Ornithorhynchus_anatinus	0.2956462	0.35105783
35	None|Oran_dn_10|Ornithorhynchus_anatinus	0.19510467	0.35402563
36	None|Oran_dn4|Ornithorhynchus_anatinus	0.25951403	0.3356262
37	None|Oran_dn5|Ornithorhynchus_anatinus	0.25334552	0.3327176
38	None|Oran1|Ornithorhynchus_anatinus	0.24957976	0.362085
39	None|Oran2|Ornithorhynchus_anatinus	0.2724333	0.37181568
40	None|Oran3|Ornithorhynchus_anatinus	0.258039	0.38058868
41	None|Oran6|Ornithorhynchus_anatinus	0.24790378	0.337669
42	None|Oran7|Ornithorhynchus_anatinus	0.30656213	0.36276364
43	None|Oran8|Ornithorhynchus_anatinus	0.18242265	0.20222777
44	None|Oran9|Ornithorhynchus_anatinus	0.17425972	0.31809416
45	None|Gaga_1|Gallus_gallus	0.2642141	0.40000522
46	None|Gaga_2|Gallus_gallus	0.24158335	0.34826896
47	None|Gaga_3|Gallus_gallus	0.27015302	0.37747929
